date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
2017-03-07,1.95,1.99,1.95,1.95,183.0,0.0,0.0,1.948,1.946,1.958,247.2,216.7,331.16
2017-03-06,1.93,1.97,1.95,1.93,899.0,0.01,0.52,1.946,1.944,1.961,237.4,201.0,337.66
2017-03-03,1.95,1.95,1.94,1.94,50.0,-0.01,-0.51,1.946,1.942,1.961,73.4,139.9,312.66
2017-03-01,1.94,1.95,1.95,1.94,51.0,0.0,0.0,1.946,1.942,1.958,66.6,138.0,325.01
2017-02-28,1.93,1.95,1.95,1.93,53.0,0.01,0.52,1.946,1.942,1.955,139.8,145.41,337.31
2017-02-27,1.95,1.95,1.94,1.93,134.0,-0.01,-0.51,1.944,1.942,1.952,186.2,192.41,344.76
2017-02-24,1.94,1.95,1.95,1.94,79.0,0.01,0.52,1.942,1.943,1.951,164.6,264.11,362.51
2017-02-23,1.95,1.95,1.94,1.93,16.0,-0.01,-0.51,1.938,1.944,1.948,206.4,315.41,365.26
2017-02-22,1.94,1.96,1.95,1.93,417.0,0.01,0.52,1.938,1.953,1.944,209.4,383.51,367.51
2017-02-20,1.93,1.94,1.94,1.93,285.0,0.01,0.52,1.938,1.955,1.941,151.03,386.41,347.26
2017-02-17,1.92,1.93,1.93,1.92,26.0,0.0,0.0,1.94,1.97,1.937,198.63,445.61,388.26
2017-02-16,1.93,1.93,1.93,1.93,288.0,-0.01,-0.52,1.944,1.977,1.938,363.63,474.31,387.16
2017-02-15,1.94,1.94,1.94,1.94,31.0,-0.01,-0.51,1.95,1.979,1.94,424.43,485.41,373.61
2017-02-14,1.94,1.95,1.95,1.93,125.13,0.0,0.0,1.968,1.973,1.942,557.63,512.01,373.76
2017-02-13,1.97,1.97,1.95,1.93,523.0,0.0,0.0,1.972,1.967,1.946,621.8,529.2,368.95
2017-02-10,1.95,2.14,1.95,1.94,851.0,-0.01,-0.51,2.0,1.961,1.949,692.6,497.1,342.85
2017-02-09,1.96,1.96,1.96,1.93,592.0,-0.07,-3.45,2.01,1.959,1.953,585.0,460.9,300.9
2017-02-08,1.95,2.16,2.03,1.92,697.0,0.06,3.05,2.008,1.952,1.956,546.4,415.1,275.4
2017-02-07,1.93,2.0,1.97,1.92,446.0,-0.12,-5.74,1.978,1.935,1.955,466.4,351.5,246.2
2017-02-06,1.95,2.19,2.09,1.9,877.0,0.09,4.5,1.962,1.926,1.956,436.6,308.1,230.55
2017-02-03,1.91,2.0,2.0,1.85,313.0,0.05,2.56,1.922,1.903,1.952,301.6,330.9,192.9
2017-01-26,1.89,2.06,1.95,1.89,399.0,0.07,3.72,1.908,1.899,1.951,336.8,300.0,184.35
2017-01-25,1.89,1.9,1.88,1.83,297.0,-0.01,-0.53,1.896,1.9,1.953,283.8,261.8,175.35
2017-01-24,1.89,2.08,1.89,1.89,297.0,0.0,0.0,1.892,1.911,1.959,236.6,235.5,162.5
2017-01-23,1.89,1.93,1.89,1.74,202.0,-0.04,-2.07,1.89,1.924,1.965,179.6,208.7,147.71
2017-01-20,1.88,2.08,1.93,1.87,489.0,0.04,2.12,1.884,1.937,1.97,360.2,188.6,140.41
2017-01-19,1.86,1.89,1.89,1.86,134.0,0.03,1.61,1.89,1.946,1.973,263.2,140.9,117.26
2017-01-18,1.86,1.86,1.86,1.86,61.0,-0.02,-1.06,1.904,1.96,1.978,239.8,135.7,126.73
2017-01-17,1.89,1.89,1.88,1.84,12.0,0.02,1.07,1.93,1.974,1.985,234.4,140.9,125.08
2017-01-16,1.93,1.94,1.86,1.86,1105.0,-0.1,-5.1,1.958,1.986,1.992,237.8,153.0,142.38
2017-01-13,1.96,1.96,1.96,1.96,4.0,0.0,0.0,1.99,2.0,2.004,17.0,54.9,90.68
2017-01-12,2.0,2.0,1.96,1.96,17.0,-0.03,-1.51,2.002,2.002,2.012,18.6,68.7,91.93
2017-01-11,1.98,1.99,1.99,1.98,34.0,-0.03,-1.49,2.016,2.006,2.02,31.6,88.9,94.13
2017-01-10,1.99,2.02,2.02,1.99,29.0,0.0,0.0,2.018,2.007,2.027,47.4,89.5,92.93
2017-01-09,2.02,2.02,2.02,2.02,1.0,0.0,0.0,2.014,2.005,2.031,68.2,86.71,99.58
2017-01-06,2.0,2.02,2.02,1.99,12.0,-0.01,-0.49,2.01,2.003,2.035,92.8,92.21,105.48
2017-01-05,1.99,2.03,2.03,1.99,82.0,0.03,1.5,2.002,1.999,2.041,118.8,93.61,120.98
2017-01-04,1.98,2.0,2.0,1.98,113.0,0.0,0.0,1.996,1.995,2.049,146.2,117.77,130.98
2016-12-27,1.99,2.0,2.0,1.98,133.0,0.0,0.0,1.996,1.996,2.058,131.6,109.27,158.68
2016-12-26,1.97,2.0,2.0,1.96,124.0,0.02,1.01,1.996,1.997,2.066,105.23,131.77,156.03
2016-12-23,2.0,2.0,1.98,1.98,142.0,-0.02,-1.0,1.996,2.008,2.073,91.63,126.47,150.18
2016-12-22,2.0,2.0,2.0,2.0,219.0,0.0,0.0,1.996,2.021,2.081,68.43,115.17,150.53
2016-12-20,1.98,2.0,2.0,1.98,40.0,0.0,0.0,1.994,2.033,2.089,89.34,99.37,147.03
2016-12-19,1.98,2.0,2.0,1.98,1.13,0.0,0.0,1.996,2.046,2.095,86.94,96.37,146.23
2016-12-16,2.0,2.0,2.0,2.0,56.0,0.02,1.01,1.998,2.057,2.103,158.31,112.46,146.43
2016-12-15,1.98,1.98,1.98,1.98,26.0,-0.01,-0.5,2.02,2.066,2.11,161.31,118.76,146.33
2016-12-14,1.99,1.99,1.99,1.99,323.55,-0.02,-0.99,2.046,2.082,2.119,161.91,148.36,200.68
2016-12-13,2.04,2.04,2.01,2.01,28.0,0.0,0.0,2.072,2.102,2.126,109.4,144.2,185.75
2016-12-12,2.09,2.09,2.01,2.01,358.0,-0.1,-4.74,2.096,2.12,2.134,105.8,208.1,199.45
2016-12-09,2.09,2.11,2.11,2.09,71.0,0.0,0.0,2.116,2.134,2.139,66.6,180.3,188.65
2016-12-08,2.13,2.13,2.11,2.11,29.0,-0.01,-0.47,2.112,2.138,2.141,76.2,173.9,205.95
2016-12-07,2.13,2.13,2.12,2.09,61.0,-0.01,-0.47,2.118,2.141,2.142,134.8,185.9,213.9
2016-12-06,2.09,2.13,2.13,2.09,10.0,0.02,0.95,2.132,2.144,2.143,179.0,194.7,224.05
2016-12-05,2.11,2.11,2.11,2.08,162.0,0.02,0.96,2.144,2.144,2.143,310.4,196.1,225.85
2016-12-02,2.14,2.14,2.09,2.09,119.0,-0.05,-2.34,2.152,2.149,2.143,294.0,180.4,218.45
2016-12-01,2.14,2.16,2.14,2.13,322.0,-0.05,-2.28,2.164,2.154,2.146,271.6,173.9,213.05
2016-11-30,2.19,2.19,2.19,2.14,282.0,0.0,0.0,2.164,2.155,2.147,237.0,253.0,197.9
2016-11-29,2.12,2.19,2.19,2.12,667.0,0.04,1.86,2.156,2.15,2.145,210.4,227.3,185.8
2016-11-28,2.14,2.15,2.15,2.14,80.0,0.0,0.0,2.144,2.147,2.144,81.8,190.8,154.3
2016-11-24,2.16,2.16,2.15,2.15,7.0,0.01,0.47,2.146,2.144,2.145,66.8,197.0,155.25
2016-11-23,2.16,2.16,2.14,2.12,149.0,-0.01,-0.47,2.144,2.143,2.146,76.2,238.0,155.15
2016-11-22,2.12,2.15,2.15,2.12,149.0,0.02,0.94,2.146,2.143,2.146,269.0,241.9,173.75
2016-11-21,2.13,2.13,2.13,2.13,24.0,-0.03,-1.39,2.144,2.141,2.145,244.2,253.4,176.4
2016-11-18,2.14,2.16,2.16,2.14,5.0,0.02,0.94,2.15,2.141,2.146,299.8,255.6,176.45
2016-11-17,2.14,2.14,2.14,2.13,54.0,-0.01,-0.47,2.142,2.137,2.145,327.2,256.5,176.7
2016-11-16,2.16,2.18,2.15,2.15,1113.0,0.01,0.47,2.142,2.138,2.146,399.8,252.2,183.0
2016-11-15,2.11,2.14,2.14,2.11,25.0,-0.02,-0.93,2.14,2.139,2.145,214.8,142.8,131.2
2016-11-14,2.09,2.16,2.16,2.09,302.01,0.04,1.89,2.138,2.141,2.145,262.6,144.3,142.8
2016-11-11,2.11,2.12,2.12,2.1,142.0,-0.02,-0.94,2.132,2.141,2.143,211.4,117.8,135.2
2016-11-10,2.1,2.14,2.14,2.09,417.01,0.0,0.0,2.132,2.145,2.141,185.8,113.5,129.7
2016-11-09,2.12,2.14,2.14,2.1,188.0,0.01,0.47,2.135,2.148,2.138,104.6,72.3,117.3
2016-11-08,2.12,2.14,2.13,2.09,264.0,0.0,0.0,2.138,2.149,2.135,70.8,105.6,112.6
2016-11-07,2.13,2.13,2.13,2.1,46.0,0.01,0.47,2.143,2.149,2.132,26.0,99.4,99.45
2016-11-04,2.1,2.12,2.12,2.1,14.0,-0.02,-0.94,2.149,2.151,2.131,24.2,97.3,99.1
2016-10-28,2.155,2.155,2.154,2.137,11.0,-0.001,-0.05,2.159,2.154,2.131,41.2,96.9,98.8
2016-10-26,2.116,2.155,2.155,2.116,19.0,-0.003,-0.14,2.162,2.154,2.128,40.0,113.8,117.95
2016-10-24,2.159,2.159,2.158,2.114,40.0,-0.002,-0.09,2.16,2.152,2.126,140.4,119.6,117.6
2016-10-21,2.171,2.171,2.16,2.119,37.0,-0.007,-0.32,2.154,2.149,2.123,172.8,141.3,117.9
2016-10-20,2.137,2.167,2.167,2.137,99.0,-0.001,-0.05,2.152,2.144,2.12,170.4,152.6,133.55
2016-10-19,2.168,2.168,2.168,2.168,5.0,0.021,0.98,2.148,2.137,2.116,152.6,145.9,130.0
2016-10-18,2.129,2.147,2.147,2.128,521.0,0.017,0.8,2.146,2.128,2.112,187.6,162.3,133.3
2016-10-17,2.116,2.145,2.13,2.116,202.0,-0.017,-0.79,2.144,2.12,2.113,98.8,119.6,113.2
2016-10-14,2.1,2.147,2.147,2.1,25.0,-0.002,-0.09,2.144,2.115,2.115,109.8,99.5,112.85
2016-10-13,2.154,2.155,2.149,2.149,10.0,-0.007,-0.33,2.137,2.112,2.116,134.8,100.9,112.95
